Type,Result,WL,Defer,Attend,GPA,"Highest Comb SAT 1600",ACT,Year
RD,Denied,,,Unknown,4.419,1500,33,2019
RD,Denied,Yes,,No,4.497,-,36,2019
RD,Denied,,,No,4.156,1480,31,2019
RD,Denied,,,No,4.383,1500,34,2019
RD,Unknown,,,No,4.384,1560,-,2019
ED,Accepted,,,No,4.385,1540,32,2019
RD,Denied,,,No,4.072,1580,-,2019
RD,Incomplete,,,No,4.076,1130,35,2019
RD,Denied,,,No,4.072,1460,35,2019
RD,Unknown,,,No,3.75,1340,26,2019
RD,Denied,,,No,4.129,1540,34,2019
RD,Waitlisted,Yes,,No,4.392,-,34,2019
RD,Waitlisted,Yes,,No,4.551,1570,34,2019
RD,Denied,,,No,3.905,1500,-,2019
RD,Unknown,,,No,4.167,1530,-,2019
RD,Denied,,,No,4.148,-,-,2019
RD,Waitlisted,Yes,,Unknown,4.449,1530,-,2019
ED,Denied,,,No,4.167,1540,35,2019
RD,Incomplete,,,No,4.188,1520,35,2019
RD,Denied,,,No,4.479,1560,-,2019
ED,Denied,,,No,4.186,-,33,2019
RD,Denied,,,No,4.336,1550,-,2019
RD,Incomplete,,,No,4.009,1480,-,2019
RD,Denied,,,Unknown,4.283,1500,33,2019
RD,Denied,,,No,3.905,1420,-,2019
RD,Unknown,,,No,4.413,1540,-,2019
RD,Incomplete,,,No,4.261,1380,33,2019
RD,Denied,,,No,4.152,1480,34,2019
RD,Waitlisted,Yes,,No,4.413,1510,34,2019
RD,Accepted,,,Unknown,4.323,1530,-,2019
ED,Denied,,,No,3.685,1250,22,2019
RD,Denied,,,No,4.085,-,30,2019
RD,Denied,,,No,4.012,1520,-,2019
RD,Accepted,,,No,4.538,1550,-,2019
RD,No decision,,,No,4.11,1500,-,2019
RD,Incomplete,,,No,4.156,1500,-,2019
RD,Denied,,,No,4.003,1400,34,2019
RD,Waitlisted,Yes,,No,4.554,1560,35,2019
RD,Denied,,,No,4.233,1570,-,2019
RD,Denied,,,No,4.105,1550,-,2019
RD,Accepted,,,No,4.589,1580,-,2019
RD,Waitlisted,Yes,,No,4.451,1560,-,2019
RD,Denied,,,No,4.514,1550,-,2019
RD,Denied,,,No,4.386,1530,-,2019
RD,Denied,,,No,4.127,1510,-,2019
RD,Denied,,,No,4.12,1480,-,2019
RD,Incomplete,,,No,4.113,1510,-,2019
RD,Denied,,,No,3.983,1390,-,2019
RD,Denied,,,No,4.135,1480,32,2019
RD,Denied,,,No,3.804,1480,-,2019
ED,Denied,,,No,4.208,1550,-,2019
RD,Denied,,,No,4.201,1460,35,2019
RD,Denied,,,No,3.973,1460,-,2019
RD,Incomplete,,,No,3.262,1480,30,2019
RD,Denied,,,No,4.042,-,34,2019
ED,Guar. Transfer,,,No,4.147,1490,33,2019
RD,Waitlisted,Yes,,No,4.452,1470,35,2019
RD,Denied,,,No,4.006,1400,32,2019
RD,Denied,,,No,3.927,-,25,2019
RD,Incomplete,,,Unknown,4.26,1460,30,2019
RD,Unknown,,,No,4.016,-,31,2019
RD,Waitlisted,Yes,,No,4.536,1600,34,2019
RD,Denied,,,No,3.902,1280,-,2019
ED,Denied,,,No,3.955,1350,-,2019
RD,Incomplete,,,No,3.95,1480,-,2019
RD,Denied,,,No,4.236,1450,33,2019
RD,Denied,,,No,4.36,1510,-,2019
RD,Denied,,,No,3.863,1370,-,2019
RD,Incomplete,,,No,4.281,-,-,2019
RD,Denied,,,No,3.96,1540,35,2019
RD,Withdrawn,,,No,3.82,1520,-,2019
RD,Incomplete,,,Unknown,3.92,1530,-,2019
RD,Denied,,,Unknown,4.34,1530,35,2019
RD,Incomplete,,,No,4.129,-,-,2019
RD,Unknown,,,No,3.791,-,30,2019
ED,Denied,,,No,3.826,1530,-,2019
RD,Denied,,,No,4.112,1400,-,2019
RD,Unknown,,,No,3.895,1350,24,2019
RD,Denied,,,No,3.698,1390,33,2019
RD,Denied,,,No,3.809,1330,-,2019
RD,Withdrawn,,,No,4.215,-,32,2019
RD,Withdrawn,,,No,3.98,-,29,2019
RD,Incomplete,,,Unknown,3.604,-,-,2019
RD,Denied,,,No,3.87,1430,31,2019
RD,Denied,,,No,4,-,-,2019
