Type,Result,WL,Defer,Attend,GPA,"Highest Comb SAT 1600",ACT,Year
RD,Denied,,,No,4.261,1380,33,2019
RD,Denied,,,No,3.483,1320,28,2019
RD,Unknown,,,No,4.384,1560,-,2019
EA,Accepted,,,No,4.385,1540,32,2019
EA,Denied,,,No,4.072,1580,-,2019
EA,Denied,,,Unknown,4.34,1530,35,2019
EA,Guar. Transfer,,,No,4.049,1430,-,2019
EA,Unknown,,,No,3.75,1340,26,2019
EA,Denied,,,No,4.021,1390,-,2019
RD,Denied,,,No,4.201,1460,35,2019
EA,Denied,,,No,4.304,1500,32,2019
EA,Accepted,,,No,4.392,-,34,2019
RD,Denied,,,No,3.87,1500,-,2019
EA,Accepted,,,No,4.536,1600,34,2019
RD,Denied,,,No,3.905,1500,-,2019
EA,Denied,,,No,4.148,-,-,2019
EA,Denied,,,No,4.255,-,-,2019
EA,Denied,,,No,4.167,1540,35,2019
RD,Denied,,,No,4.188,1520,35,2019
EA,Accepted,,,Yes,4.479,1560,-,2019
EA,Denied,,,No,3.897,1350,-,2019
EA,Denied,,,No,4.259,-,35,2019
EA,Denied,,,No,4.398,1540,-,2019
EA,Denied,,,No,4.413,1540,-,2019
EA,Denied,,,No,4.152,1480,34,2019
EA,Denied,,,No,4.413,1510,34,2019
EA,Denied,,,No,4.344,1530,-,2019
RD,Denied,,,No,4.085,-,30,2019
RD,Denied,,,No,4.025,1500,-,2019
EA,Denied,,,No,3.824,1360,-,2019
RD,Denied,,,No,4.156,1500,-,2019
EA,Denied,,,No,4.275,1540,-,2019
EA,Accepted,,,No,4.554,1560,35,2019
EA,Incomplete,,,No,4,1480,-,2019
EA,Denied,,,No,3.965,1460,-,2019
RD,Incomplete,,,No,3.53,1430,-,2019
RD,Denied,,,No,4.105,1550,-,2019
EA,Denied,,,No,4.118,1580,34,2019
RD,Accepted,,,No,4.589,1580,-,2019
RD,Denied,,,No,4.018,1500,-,2019
EA,Denied,,,No,4.451,1560,-,2019
EA,Denied,Yes,,No,4.497,-,36,2019
EA,Denied,Yes,,No,4.514,1550,-,2019
RD,Denied,,,No,4.246,1520,34,2019
EA,Denied,,,No,4.024,1440,-,2019
RD,Guar. Transfer,,,No,4.187,1560,-,2019
EA,Denied,,,No,3.826,1530,-,2019
RD,Denied,,,No,4.12,1480,-,2019
