Type,Result,WL,Defer,Attend,GPA,"Highest Comb.
SAT 1600",ACT,Year
RD,Accepted,,,No,4.261,1380,33,2019
EA,Incomplete,,,No,4.072,1580,-,2019
EA,Accepted,,,No,3.633,-,27,2019
EA,Denied,,,No,3.965,1420,-,2019
EA,Denied,,,No,3.905,1500,-,2019
EA,Accepted,,,No,4.479,1560,-,2019
EA,Accepted,,,No,4.304,1500,32,2019
EA,Denied,,,No,4.259,-,35,2019
EA,Denied,Yes,,No,4.167,1540,35,2019
EA,Accepted,,,No,4.308,1540,33,2019
EA,Accepted,,,No,4.019,1510,-,2019
RD,Denied,,Yes,No,3.78,-,-,2019
EA,Incomplete,,,No,4.083,1570,-,2019
EA,Accepted,,,No,4.188,1520,35,2019
EA,Denied,,,No,4,1480,-,2019
EA,Waitlisted,Yes,,No,4.383,1500,34,2019
RD,Accepted,,,Yes,4.386,1530,-,2019
EA,Accepted,,,No,4.246,1520,34,2019
EA,Denied,,,No,4.342,1540,-,2019
RD,Denied,,,No,4.025,1500,-,2019
EA,Accepted,,,No,3.566,1490,-,2019
EA,Accepted,,,No,4.413,1510,34,2019
EA,Accepted,,,No,4.451,1560,-,2019
RD,Denied,,,No,4.085,-,30,2019
EA,Accepted,,,No,4.252,-,-,2019
RD,Accepted,,,Yes,4.003,1400,34,2019
EA,Waitlisted,Yes,,No,4.208,1550,-,2019
RD,Denied,,,No,4.156,1500,-,2019
EA,Denied,,,No,3.941,1440,-,2019
EA,Accepted,,,No,3.824,1360,-,2019
EA,Denied,,,No,3.955,1350,-,2019
RD,Denied,,,No,4.066,1440,-,2019
RD,Denied,,,No,3.877,1220,28,2019
RD,Accepted,,,No,4.187,1560,-,2019
EA,Accepted,,,No,3.753,1420,-,2019
EA,Denied,Yes,,No,3.804,1480,-,2019
EA,Denied,,Yes,No,3.922,1420,27,2019
EA,Accepted,,,No,4.043,1470,-,2019
EA,Accepted,,,Yes,4.514,1550,-,2019
RD,Incomplete,,,No,3.53,1430,-,2019
