Type,Result,WL,Defer,Attend,GPA,"Highest Comb SAT 1600",ACT,Year
RD,Withdrawn,,,No,3.965,-,29,2019
EA,Accepted,,,No,3.566,1490,-,2019
EA,Accepted,,,No,4.497,-,36,2019
RD,Denied,,,No,3.836,1360,24,2019
EA,Accepted,,,No,4.146,1460,30,2019
EA,Accepted,,,No,3.864,-,30,2019
EA,Accepted,,,Yes,3.965,1420,-,2019
RD,Accepted,,,Yes,4.383,1500,34,2019
RD,Accepted,,,Unknown,3.899,1310,24,2019
EA,Accepted,,,Unknown,4.34,1530,35,2019
RD,Accepted,,,No,3.877,1430,-,2019
EA,Accepted,,,No,4.032,-,32,2019
EA,Accepted,,,No,3.633,-,27,2019
PRI,Accepted,,,No,4.129,1540,34,2019
EA,Accepted,,,No,3.646,1150,-,2019
EA,Accepted,,,No,4.049,1430,-,2019
PRI,Accepted,,,Yes,4.072,1580,-,2019
EA,Accepted,,,Yes,3.905,1500,-,2019
EA,Accepted,,,No,3.846,1410,-,2019
EA,Accepted,,,No,4.167,1540,35,2019
EA,Accepted,,,No,4.479,1560,-,2019
EA,Accepted,,,Yes,4.129,1450,-,2019
PRI,Accepted,,,No,4.259,-,35,2019
EA,Accepted,,,No,3.681,1440,-,2019
EA,Jan. Admit,,,No,3.722,1450,-,2019
EA,Accepted,,,No,4.323,-,30,2019
EA,Denied,,,No,3.348,1240,27,2019
RD,Accepted,,,No,4.164,1420,31,2019
PRI,Accepted,,,No,4.304,1500,32,2019
RD,Accepted,,,No,3.685,1250,22,2019
EA,Accepted,,,No,4.012,1520,-,2019
RD,Accepted,,,No,3.78,-,-,2019
PRI,Accepted,,,No,4.188,1520,35,2019
EA,Accepted,,,No,4.123,1380,-,2019
RD,Denied,,,No,3.849,1240,25,2019
RD,Unknown,,,No,4.413,1540,-,2019
EA,Accepted,,,No,3.956,-,-,2019
RD,Unknown,,,No,3.604,-,20,2019
EA,Denied,,,No,3.618,1140,25,2019
EA,Accepted,,,No,4.018,1500,-,2019
EA,Accepted,,,Yes,4.04,1570,-,2019
EA,Accepted,,,Yes,4.025,1500,-,2019
RD,Unknown,,,No,4.386,1530,-,2019
RD,Accepted,,,Yes,4,1480,-,2019
EA,Accepted,,,No,4.246,1520,34,2019
EA,Accepted,,,No,3.988,1200,-,2019
EA,Accepted,,,No,3.897,1350,-,2019
RD,Accepted,,,No,4.191,1590,-,2019
RD,Withdrawn,,,No,4.257,1520,-,2019
PRI,Accepted,,,No,4.413,1510,34,2019
EA,Accepted,,,No,4.12,1480,-,2019
EA,Withdrawn,,,No,3.571,1290,25,2019
EA,Accepted,,,No,3.983,1390,-,2019
EA,Accepted,,,No,4.451,1560,-,2019
EA,Accepted,,,No,4.085,-,30,2019
EA,Accepted,,,No,4.308,1540,33,2019
EA,Accepted,,,No,4.021,-,-,2019
EA,Accepted,,,No,3.711,1510,-,2019
EA,Accepted,,,No,4.003,1400,34,2019
EA,Accepted,,,Yes,3.824,1360,-,2019
EA,Accepted,,,No,4.292,1540,-,2019
EA,Denied,,,No,3.711,1270,-,2019
RD,Accepted,,,Yes,4.156,1500,-,2019
EA,Accepted,,,No,3.483,1320,28,2019
EA,Accepted,,,No,3.756,1410,29,2019
EA,Accepted,,,No,3.941,1440,-,2019
PRI,Accepted,,,Yes,3.955,1350,-,2019
PRI,Accepted,,,No,4.043,1470,-,2019
EA,Accepted,,,No,4.066,1440,-,2019
EA,Accepted,,,Yes,3.836,1380,28,2019
PRI,Denied,,,No,3.316,1460,24,2019
