Type,Result,WL,Defer,Attend,GPA,"Highest Comb SAT 1600",ACT,Year
EA,Denied,,,No,3.905,1310,-,2019
RD,Denied,Yes,,No,4.497,-,36,2019
EA,Denied,,,No,4.032,-,32,2019
RD,Accepted,,,No,4.446,1580,-,2019
RD,Unknown,,,No,4.384,1560,-,2019
EA,Waitlisted,Yes,,No,4.551,1570,34,2019
EA,Accepted,,,Yes,4.385,1540,32,2019
EA,Denied,,,No,3.965,1420,-,2019
RD,Denied,,,No,3.877,1430,-,2019
EA,No decision,Yes,,No,4.076,1130,35,2019
RD,Unknown,,,No,3.75,1340,26,2019
RD,Denied,,,No,3.633,-,27,2019
EA,Waitlisted,Yes,,No,4.308,1540,33,2019
EA,Denied,,,No,4.021,1390,-,2019
RD,Withdrawn,,,No,4.26,1510,33,2019
EA,Denied,,,No,4.04,1570,-,2019
EA,Denied,,Yes,No,3.646,1150,-,2019
EA,Waitlisted,Yes,,No,4.392,-,34,2019
EA,Waitlisted,Yes,,No,4.129,1450,-,2019
RD,No decision,,,No,3.905,1500,-,2019
EA,Accepted,,,No,4.536,1600,34,2019
RD,Denied,,,No,4.167,1530,-,2019
EA,Deferred,,Yes,No,4.021,-,-,2019
EA,Denied,,,No,4.148,-,-,2019
EA,Denied,,,No,3.846,1410,-,2019
EA,Denied,,,No,4.167,1540,35,2019
RD,Denied,,,No,4.188,1520,35,2019
EA,Denied,,,No,3.991,1450,-,2019
EA,Accepted,,,No,4.336,1550,-,2019
RD,No decision,,,Unknown,3.67,-,-,2019
RD,Denied,,,No,3.877,1220,28,2019
EA,Deferred,,Yes,No,3.681,1440,-,2019
EA,Denied,,,No,3.482,-,22,2019
EA,Withdrawn,,,No,3.722,1450,-,2019
EA,Waitlisted,Yes,,No,4.398,1540,-,2019
EA,Denied,,,No,3.905,1420,-,2019
EA,Accepted,,,Yes,4.323,-,30,2019
EA,Deferred,,Yes,No,4.413,1540,-,2019
EA,Denied,,,No,4.012,1520,-,2019
EA,Waitlisted,Yes,,No,4.255,-,-,2019
RD,Incomplete,,,Unknown,4.323,1530,-,2019
RD,Unknown,,,Unknown,4.147,-,-,2019
RD,Deferred,,Yes,No,3.685,1250,22,2019
EA,Accepted,,,Yes,4.019,1510,-,2019
RD,Denied,,,No,4.025,1500,-,2019
EA,Waitlisted,Yes,,No,4.083,1570,-,2019
EA,Unknown,,,No,3.78,-,-,2019
EA,Denied,,,No,4.252,-,-,2019
RD,Denied,,,No,4.156,1500,-,2019
EA,Waitlisted,Yes,,No,4.538,1550,-,2019
EA,Denied,,,No,4.003,1400,34,2019
EA,Waitlisted,Yes,,No,4.554,1560,35,2019
EA,Waitlisted,Yes,,No,4,1480,-,2019
EA,Waitlisted,Yes,,No,4.233,1570,-,2019
EA,Incomplete,,,Unknown,4.126,1230,-,2019
EA,Incomplete,,,No,4.105,1550,-,2019
EA,Incomplete,,,No,3.82,1520,-,2019
RD,Incomplete,,,No,4.589,1580,-,2019
EA,Denied,,Yes,No,4.018,1500,-,2019
EA,Waitlisted,Yes,,No,4.451,1560,-,2019
EA,Denied,Yes,,No,4.514,1550,-,2019
EA,Incomplete,,,Unknown,3.746,1410,-,2019
RD,Waitlisted,Yes,,No,4.246,1520,34,2019
EA,Denied,,,No,4.342,1540,-,2019
EA,Incomplete,,,No,3.753,1420,-,2019
RD,Incomplete,,,No,4.066,1440,-,2019
EA,Incomplete,,,No,4.292,1540,-,2019
EA,Withdrawn,,,No,4.247,-,32,2019
RD,Incomplete,,,No,4.118,1580,34,2019
EA,Denied,,,No,3.941,1440,-,2019
RD,Denied,,,No,4.072,1580,-,2019
EA,Denied,,,No,3.983,1390,-,2019
EA,Accepted,,,Yes,4.135,1480,32,2019
EA,Denied,,,No,3.87,1430,31,2019
RD,Incomplete,,,No,3.804,1480,-,2019
RD,Denied,,,No,3.875,1500,-,2019
EA,Accepted,,,Yes,4.208,1550,-,2019
EA,Withdrawn,,,No,3.37,1290,24,2019
RD,Unknown,,,No,3.677,1150,24,2019
RD,Waitlisted,Yes,,No,4.261,1380,33,2019
EA,Waitlisted,Yes,,No,4.452,1470,35,2019
EA,Denied,Yes,,No,3.779,-,31,2019
RD,Unknown,,,No,4.215,1450,34,2019
EA,Incomplete,,,Unknown,3.776,1450,25,2019
EA,Deferred,,Yes,Unknown,3.92,1530,-,2019
RD,Withdrawn,,,No,3.603,1220,-,2019
RD,No decision,Yes,,No,4.236,1450,33,2019
RD,Waitlisted,Yes,,No,4.252,1530,-,2019
EA,Waitlisted,Yes,,No,4.281,-,-,2019
EA,Denied,,Yes,No,4.12,1480,-,2019
EA,Withdrawn,,,No,3.528,1340,27,2019
EA,Denied,,,No,3.897,1350,-,2019
EA,Unknown,,,No,4.024,1440,-,2019
RD,Incomplete,,,No,3.361,1480,30,2019
RD,Denied,,,No,3.818,-,34,2019
RD,Incomplete,,,No,4.129,-,-,2019
EA,Denied,Yes,,No,3.826,1530,-,2019
RD,Incomplete,,,No,3.244,-,32,2019
RD,Denied,,,No,3.843,1370,-,2019
EA,Unknown,,,No,3.791,-,30,2019
RD,Withdrawn,,,No,3.462,1340,-,2019
RD,Incomplete,,,No,3.973,1460,-,2019
RD,Unknown,,,No,3.839,1430,28,2019
RD,Withdrawn,,,No,3.681,1290,26,2019
RD,Incomplete,,,No,3.868,1380,29,2019
RD,Incomplete,,,No,4.132,1500,31,2019
RD,Unknown,,,No,3.756,1410,29,2019
RD,Denied,,,No,3.668,1390,31,2019
RD,Denied,,,No,3.348,1240,27,2019
RD,Waitlisted,Yes,,Unknown,4.449,1530,-,2019
RD,Withdrawn,,,No,3.955,1490,-,2019
RD,Incomplete,,,No,3.711,1510,-,2019
RD,Waitlisted,Yes,,No,4.344,1530,-,2019
RD,Incomplete,,,Unknown,3.911,1450,-,2019
RD,Denied,,,Unknown,3.51,1350,29,2019
RD,Guar. Transfer,,,No,3.824,1360,-,2019
RD,Incomplete,,,No,2.981,1330,32,2019
RD,Waitlisted,Yes,,No,4.157,1580,-,2019
RD,Incomplete,,,No,3.449,1540,-,2019
RD,Denied,,Yes,No,3.87,-,-,2019
RD,Denied,,,No,3.955,1350,-,2019
EA,No decision,Yes,,No,4.41,1550,36,2018
EA,Accepted,,,Yes,4.188,1440,35,2018
EA,Withdrawn,Yes,Yes,No,4.195,1460,29,2018
